epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0214,1.36871,4.45832,1.40012,0,0,0,0,1.12796,4.2808,1.23955,0.0001104,0.0001104,0.0001104
2,32.7404,1.33275,4.09035,1.3467,0.06871,0.15428,0.10171,0.07471,1.19233,4.02408,1.26391,0.00022055,0.00022055,0.00022055
3,45.2949,1.38785,3.61838,1.35525,0.79867,0.08557,0.15452,0.1066,1.30483,3.39485,1.35348,0.000326943,0.000326943,0.000326943
4,57.5138,1.42037,3.19338,1.37679,0.58219,0.18801,0.18961,0.11877,1.41645,2.56375,1.44342,0.000327922,0.000327922,0.000327922
5,69.7938,1.43014,2.80368,1.38049,0.77897,0.21466,0.23916,0.14804,1.38972,1.9782,1.4197,0.00032223,0.00032223,0.00032223
6,82.1861,1.41359,2.49263,1.37119,0.71689,0.26393,0.28984,0.1807,1.35398,1.78874,1.41026,0.000316537,0.000316537,0.000316537
7,94.7296,1.32455,2.17418,1.30633,0.69443,0.27065,0.3124,0.18659,1.34457,1.65143,1.39032,0.000310845,0.000310845,0.000310845
8,107.443,1.31611,2.04801,1.32457,0.62862,0.33358,0.35109,0.2186,1.34327,1.6021,1.39479,0.000305152,0.000305152,0.000305152
9,119.909,1.303,1.89571,1.30963,0.63803,0.32425,0.33017,0.20193,1.329,1.51876,1.38517,0.00029946,0.00029946,0.00029946
10,132.293,1.27537,1.85921,1.30439,0.60858,0.3292,0.35052,0.2152,1.33458,1.44802,1.38852,0.000293768,0.000293768,0.000293768
11,144.833,1.27141,1.79673,1.30341,0.65205,0.35267,0.36959,0.23532,1.30161,1.36408,1.37291,0.000288075,0.000288075,0.000288075
12,157.475,1.21501,1.71095,1.27548,0.59118,0.35382,0.38059,0.24156,1.2785,1.3402,1.34593,0.000282382,0.000282382,0.000282382
13,170.087,1.20286,1.64246,1.27519,0.72429,0.34629,0.38101,0.24324,1.26723,1.35335,1.3423,0.00027669,0.00027669,0.00027669
14,182.818,1.19642,1.53941,1.23745,0.70934,0.34784,0.39852,0.25095,1.26532,1.28857,1.34368,0.000270997,0.000270997,0.000270997
15,195.226,1.18505,1.53959,1.23739,0.65721,0.36785,0.40867,0.26964,1.27245,1.33133,1.35061,0.000265305,0.000265305,0.000265305
16,208.14,1.17997,1.50478,1.22778,0.60981,0.40464,0.41782,0.27007,1.26782,1.29516,1.33828,0.000259612,0.000259612,0.000259612
17,220.4,1.13901,1.45226,1.21527,0.62513,0.41887,0.42654,0.27773,1.25912,1.31127,1.33894,0.00025392,0.00025392,0.00025392
